CO,C6H6,NMHC,Nox,NO2,O3,T,RH,AH
5.1,27.1,1482,308,118,1605,9.9,64.3,0.7859
4.2,19.1,1271,300,130,1569,13,54.2,0.809
2.1,11.3,1026,122,96,958,21.5,27.4,0.6941
2.6,14.2,1123,166,125,1068,20.4,26.7,0.6323
2.8,13.9,1114,181,128,1010,20.6,22.6,0.5432
2.5,13.2,1089,127,101,928,20.6,24.8,0.5931
6.3,29.1,1530,326,171,1791,18,32.9,0.6737
1.6,7,857,92,93,922,15.3,41.5,0.7194
1.4,6.3,824,95,99,971,14.1,46,0.7363
2.3,8.4,917,157,95,1151,12,67.9,0.9523
1.3,5.4,783,83,79,975,12,66.9,0.9336
1.7,6.9,854,118,78,1034,11.5,70.1,0.9503
1.7,6.4,832,101,75,980,11.4,69.8,0.939
0.8,3.3,669,46,52,807,10.8,70.3,0.9092
1,4,708,81,55,842,10.2,73.4,0.9129
1.4,6,812,112,65,950,10.8,70.5,0.9142
2,9.9,976,138,76,1098,12.4,64,0.9206
2,8.8,931,124,84,1011,15,53.1,0.8993
1.9,8.4,917,124,90,931,16.6,44.4,0.8313
2.1,7.5,877,115,89,811,18,38.4,0.7862
1.8,7.8,892,101,87,756,20.6,30,0.7213
1.3,5.1,766,90,81,498,19.8,23.1,0.5283
1.4,6.9,852,89,89,540,21.4,22.7,0.5722
1.5,6.8,850,92,91,544,22.1,21.3,0.5605
1.7,7.4,875,103,104,620,21.1,24.5,0.604
2,8.7,927,122,111,740,18.3,31.6,0.6562
2.5,11.2,1022,159,129,921,16.1,35,0.6372
2.4,10.5,996,172,133,1033,14.8,41.5,0.6929
2,8.2,909,125,115,984,13.2,50.3,0.7577
2.9,11.6,1037,187,125,1193,12.3,55.5,0.7916
2.5,9.7,967,174,117,1219,11.8,56.6,0.7833
1.4,5.1,770,75,84,913,11.2,56.2,0.7469
1.2,4,711,48,63,750,11,56.6,0.7418
1,3.7,694,61,68,772,9.3,64.3,0.7531
0.8,2.9,644,41,49,746,7.4,71,0.7346
1.1,3.7,694,61,58,727,8.7,64.3,0.7267
1.6,6.2,823,87,77,810,17.4,35.4,0.699
1.8,7.3,870,107,90,851,20.2,29.2,0.683
2.6,9.2,945,161,118,911,22.7,22.9,0.6224
0.6,2.3,606,26,35,368,22.2,18.9,0.4993
0.9,3.1,658,42,46,369,22,19,0.4969
1,3.2,665,55,58,394,21,23.6,0.5788
1.2,3.3,672,65,61,415,19.6,27.4,0.6162
1.4,4,709,75,80,469,17.9,30.8,0.6258
2,5.7,797,93,93,607,16.4,35.3,0.6532
1.1,3.4,674,63,78,498,15.6,37.5,0.6575
1.1,2.9,648,63,74,465,14.5,39,0.6428
1.1,3.1,661,66,81,478,14.2,38.2,0.6163
0.6,1.1,514,42,59,332,14.1,34,0.5442
0.7,2,581,36,54,346,14.6,34,0.5605
0.3,0.7,462,16,25,274,13.9,30.9,0.4868
0.3,0.5,448,16,26,263,13.5,37.9,0.5852
0.4,0.7,472,33,49,314,13.9,43.6,0.6871
0.5,0.9,494,39,53,367,13.5,50.1,0.7706
0.6,1.5,541,45,57,432,13.3,53.6,0.8169
0.8,2.2,598,63,73,536,13.4,56,0.8576
1.3,3.9,707,104,93,677,12.7,62.7,0.9173
0.6,1.4,536,53,56,421,11.2,64.4,0.8537
1.2,3.6,689,89,77,519,11.4,61.2,0.8236
1.4,3.1,660,96,82,533,9.9,70.5,0.8581
1.2,3.5,682,88,77,537,10.3,65.2,0.8151
1.3,3.9,705,100,91,612,11,58.9,0.7714
1.8,5.2,776,127,93,697,10.6,59.5,0.7595
1.2,3.7,692,88,82,573,10.6,57.7,0.7362
0.8,2.7,635,66,74,489,10.6,56.1,0.7149
0.8,2.6,626,61,68,474,10.3,58,0.7239
0.8,2.4,610,54,65,455,10.4,58.4,0.7352
0.7,2,587,46,58,433,10.7,58.2,0.7459
0.5,1.3,532,25,36,376,10.5,59.9,0.7624
0.3,1.2,518,18,29,360,10.5,60.8,0.7704
0.3,0.9,489,21,28,363,11.1,60.1,0.7925
0.7,3.1,656,76,68,525,10.1,68.4,0.8443
1.6,6.9,853,149,99,873,10,68.7,0.8456
4.5,22.1,1354,282,128,1501,12,58.1,0.8138
2.7,11.8,1042,206,120,1186,12.8,52,0.7643
1.6,7.3,871,133,93,911,12.6,50.8,0.7387
1.6,8,900,137,96,919,13.8,47.4,0.7435
1.6,7.2,866,116,84,791,15.1,42.7,0.7294
1.5,7.7,885,112,87,751,16.3,38.1,0.7006
1.8,9.7,966,128,87,805,16.6,36.7,0.6867
2.1,9.8,971,145,103,966,15.8,40.5,0.7241
3,15.3,1158,184,118,1196,16.1,42.8,0.7783
4.6,21.5,1337,243,134,1523,15.3,46.8,0.8074
3.5,14.6,1138,205,129,1370,14.1,49.6,0.7931
2.1,9.3,952,144,108,1204,13.5,54.1,0.8351
2.1,9.4,954,152,104,1201,12.3,59.2,0.8461
0.9,3.9,705,73,73,918,10.9,64.6,0.8395
0.7,2.7,635,47,60,836,11.1,63.2,0.8331
0.9,3.3,670,79,62,820,10.2,65.8,0.8196
1.6,7.4,875,113,71,998,10.3,65.6,0.8225
3.9,18.2,1246,263,94,1403,10.8,64,0.8307
5,27.7,1497,275,99,1641,13.3,55.6,0.8453
4.3,18.3,1248,263,119,1534,15.8,46.8,0.8328
2.7,12.3,1061,183,103,1257,19.5,34.4,0.7738
2.1,8.9,935,147,95,1026,21.1,30.2,0.745
2.1,10.4,993,132,95,993,18.4,34.2,0.7185
3.9,19.1,1270,309,114,1638,13.5,53.4,0.8196
3.8,17.3,1219,327,127,1633,15,49.3,0.8364
3.8,17.5,1225,299,135,1654,17.1,42.1,0.812
3.5,17,1210,195,120,1374,19.3,35.4,0.7824
4,19.5,1282,231,129,1418,19.2,35.7,0.7826
3,14.8,1143,170,114,1228,21.5,30.4,0.7677
3.1,14,1116,192,129,1293,19.6,34.6,0.7807
5.2,24.4,1413,251,149,1642,19.6,35.5,0.8017
5.9,28.1,1507,289,149,1895,18.3,44.1,0.9183
7.3,33.7,1637,351,158,2086,17.4,47.8,0.9392
6.1,24.2,1409,319,148,1898,16.8,49.8,0.9446
4.6,19.8,1290,264,134,1758,16.2,53.2,0.9723
2.5,9.3,952,144,111,1284,14.9,59.1,0.9928
2.2,7.3,868,119,106,1075,13.9,64,1.013
2,7.1,863,120,108,1084,13.7,66.8,1.041
1.9,6.7,844,96,93,1049,13.4,69.6,1.0688
1.6,6,810,77,83,1021,12.8,71.9,1.0632
1,3.6,686,63,69,948,11.9,74.8,1.038
2,10,978,180,87,1184,11.7,75.3,1.0325
4.5,23.2,1384,352,109,1600,12.8,71,1.0428
4.1,18.7,1258,279,116,1495,13.8,61.1,0.9595
2.3,10.2,983,169,106,1166,16.6,48.7,0.9146
2.6,11,1014,172,108,1219,17.6,46.7,0.9324
2.4,10.5,997,127,100,1128,19.2,42.7,0.9425
4.6,18.9,1266,280,148,1415,14.5,75.7,1.2425
4,17.5,1223,242,126,1302,14.4,77.4,1.2654
4.7,17.7,1230,250,140,1308,14.6,74.9,1.2391
5.7,23,1378,309,142,1449,14.6,76,1.2573
6.4,26.8,1474,323,149,1492,13.9,78,1.2303
2.7,9.6,963,166,103,1095,13.1,80.1,1.2016
3.1,10,977,171,99,1105,12.8,81,1.1915
2.6,8.1,904,169,100,1051,12.7,80.6,1.1819
1.9,6.4,829,103,83,972,12.7,81.2,1.1849
0.6,2.9,646,59,59,793,14.2,52.2,0.8413
4,22.6,1368,244,95,1541,14,58,0.9202
5.6,31.1,1576,351,123,1861,15.4,53.3,0.9289
5,22.1,1354,358,142,1895,19.1,42.1,0.9233
3.2,18.3,1247,245,142,1684,23.7,31,0.8968
3.8,22,1350,240,169,1731,26.9,25.7,0.8942
3.3,20.1,1299,179,142,1402,29.7,20.6,0.8478
3,18.9,1265,160,136,1246,29.2,21.5,0.8573
3.2,20.6,1312,174,147,1342,29.6,20.1,0.8181
4.4,25.3,1438,260,196,1489,30,19.4,0.81
4.6,25.8,1449,281,186,1532,29.5,20.1,0.8136
5.2,30.6,1566,284,177,1909,27,26.8,0.9403
4.8,27.1,1483,250,164,1757,24.9,30.8,0.954
1.8,10.9,1010,98,98,1246,20.5,41.5,0.9864
2.2,13,1083,121,108,1321,19.2,44.9,0.9875
2,11.8,1043,110,107,1375,18.8,47.7,1.0221
1.8,9,938,109,87,1243,16.3,55.3,1.0178
0.7,3.7,697,71,65,937,14.8,57.7,0.9644
0.9,5.7,800,75,64,1019,14,59.7,0.9499
1.5,10,979,106,73,1140,14.6,56.8,0.9385
2.5,15,1147,166,86,1351,16.7,51.9,0.9788
3,15.6,1169,188,105,1459,20,45,1.039
2.6,12.3,1059,161,107,1297,23.9,33.7,0.9837
2.6,14.4,1130,139,114,1291,26.8,29.5,1.0209
2.6,14.6,1136,134,105,1296,27.2,32.4,1.1493
2,11,1016,98,95,1194,24.3,41.8,1.2561
1.8,9.9,973,90,93,839,27.5,31.6,1.1417
2.8,15.7,1171,147,123,1248,24.9,38.1,1.1838
3.4,16.8,1203,162,126,1502,21.2,50.8,1.2631
2,6.8,850,88,79,873,15.6,73.5,1.2953
1.1,3,650,53,54,528,12.9,79.7,1.1774
1.3,3.2,667,68,69,492,11.5,76.9,1.0436
1.2,3.1,661,61,67,463,12.2,66.8,0.9455
1,3.6,689,63,73,503,12.7,58.7,0.8605
0.3,0.7,471,14,20,305,12.5,50.9,0.7346
0.5,1.1,505,34,37,329,12.8,49.3,0.7285
0.6,1.4,535,42,50,375,13.5,48.6,0.7487
0.6,1.6,553,40,45,373,14.4,45.9,0.7476
1,2.5,621,61,56,403,16.6,38.6,0.7236
0.9,2.7,635,58,58,393,17.2,35,0.6789
1,2.7,636,57,52,388,17.4,33.9,0.6683
0.8,2.2,596,54,52,371,17.9,30.7,0.6234
0.7,2,584,41,44,347,18.3,27.2,0.5675
0.9,3.4,675,57,59,396,19.4,25.7,0.5738
1.3,4.5,739,83,74,474,20.2,24.1,0.563
1.4,4.7,748,81,76,505,19.6,24.9,0.5625
1.5,6,811,98,83,625,18.5,27.8,0.5843
1.4,5.1,769,100,90,731,15.5,37,0.6447
2.8,13,1083,116,93,955,14.8,39.5,0.6595
2.1,7,858,102,79,761,14.5,42,0.6896
1.1,3.9,703,55,57,515,14.1,44.9,0.7206
0.7,2.2,601,33,43,434,14.2,45.5,0.7333
0.4,1.3,527,17,25,369,14.1,45.3,0.7247
0.8,3.4,676,70,72,517,14,43.8,0.6959
1.9,7.5,880,116,91,786,14.4,43.6,0.7113
2.1,8.9,934,134,89,844,15,41.7,0.7093
1.4,5.3,780,113,84,720,16.3,38.4,0.7052
1.4,5.4,782,110,83,668,18.3,32.3,0.676
1.3,5.2,772,98,78,605,18.8,31.7,0.6821
1.5,6.6,837,96,80,646,19.6,30.9,0.6968
1.6,6.9,851,95,75,640,20.2,30.7,0.7176
1.3,5.4,785,86,77,571,19.7,32.5,0.7396
1.5,6.4,832,91,81,636,20,32.7,0.7545
2.2,10.7,1003,119,101,886,18.6,35.4,0.7535
3.2,13.9,1114,147,119,1032,18.3,35.9,0.7501
3,12.5,1068,135,111,977,17.8,37.5,0.7568
2.6,9.3,950,124,109,924,17.3,38.8,0.7584
1.6,6.7,842,89,101,846,17.3,38.8,0.7596
1.5,5.3,778,79,89,755,16.4,40.8,0.7542
1.2,4,709,63,75,610,16,41.4,0.7487
0.8,2.2,601,39,51,439,15.4,43,0.7482
0.7,1.7,560,25,39,402,15.7,42.5,0.7539
0.5,1.6,557,19,32,406,15.6,43.4,0.7651
0.7,3.3,670,58,68,746,15.5,47.3,0.8282
4.1,23.4,1389,314,122,1703,15.9,48.5,0.8704
4.6,23.8,1398,240,129,1628,18.1,40.3,0.8294
1.9,7.9,896,128,94,936,19.6,35.9,0.81
1.9,8.2,908,141,99,890,22.8,29.1,0.796
1.7,8.8,931,118,81,757,24.8,25.3,0.7793
2.4,14.6,1137,132,87,949,27.2,22,0.7785
3,18,1238,150,107,1109,28.2,20.4,0.7677
2,12,1048,121,95,870,25.4,24.2,0.7733
2.7,14.8,1142,149,110,1011,25.7,23.8,0.7737
2.2,12.5,1066,120,99,885,27.2,22.1,0.7811
3.4,17.7,1231,172,127,1155,24.5,27.8,0.8433
3.9,21.6,1341,177,131,1315,23.7,30.2,0.8718
3.6,18.9,1266,181,137,1359,21.5,34.5,0.8746
2.5,12.5,1066,135,122,1194,19.9,37.8,0.8675
1.8,8.8,932,99,100,951,18.9,40.6,0.8771
2,10.9,1012,111,108,1054,17.9,43.5,0.884
1.3,8,899,72,83,980,17.4,46.3,0.9112
1,4.4,735,54,74,898,18.1,44.7,0.9186
0.6,2.8,639,41,64,803,16.5,50.1,0.9331
4.2,22,1351,274,100,1692,16.1,54.8,0.996
4.6,24.7,1423,322,146,2108,19.3,46.4,1.0248
3.4,18.4,1252,255,155,1807,24.2,33.8,1.0097
2.8,16.8,1205,196,139,1566,26.7,28.7,0.9895
2.5,14.2,1123,136,121,1293,27.4,28.2,1.0098
2.4,15.7,1170,119,108,1219,28.1,26.9,1.0094
3.5,20.8,1318,197,145,1299,28.4,23.4,0.8935
2.9,16.2,1185,140,121,1111,28.4,26,0.9922
3.6,19.8,1292,178,145,1300,27.3,30,1.0752
4.8,28.9,1525,223,160,1653,24.3,37.3,1.1199
5.3,24.9,1426,265,162,1720,21.8,43.6,1.1226
2.7,13.1,1088,151,129,1339,19.8,46.8,1.0702
1.4,8.6,923,79,96,1166,19.6,49.8,1.1221
1.6,9.5,960,87,92,1256,17.9,56.2,1.142
1.5,7.8,891,88,89,1125,17.4,55.6,1.0963
1,5.2,772,51,61,968,16.8,59.5,1.1269
0.6,2.8,639,34,54,814,15.9,60.1,1.0806
0.8,4.4,734,76,57,861,13.3,67,1.0203
1.5,9.4,956,139,68,1047,12.9,66.5,0.9846
4.9,29.8,1547,293,95,1665,14.8,61.3,1.0237
3.5,18,1241,250,135,1711,18.6,47.8,1.0143
2.1,10.9,1009,145,118,1204,23.8,30.2,0.8771
2,14.4,1128,104,89,1040,25.6,25.5,0.8234
3.8,22.3,1360,205,129,1439,24.9,29.9,0.9325
3.4,20.9,1321,201,122,1516,22.4,37.9,1.016
4.4,23.1,1379,266,138,1693,21.7,44,1.1242
4.9,24.8,1424,247,143,1688,20.8,45.3,1.1016
5.4,28.6,1519,271,145,1820,20.2,48.6,1.1354
4.3,19.2,1275,245,122,1740,18.6,57.6,1.2233
2.8,13.6,1104,172,97,1411,17,70.7,1.3554
2.3,11.1,1019,137,85,1217,16.2,76.9,1.4051
1.7,7.6,884,91,76,1086,15.7,78.6,1.3943
1.2,5.9,809,80,74,1050,15.7,78.4,1.3917
0.8,4.5,738,68,66,917,15.7,74.7,1.3194
1.7,9.3,949,162,90,1116,15.9,73.1,1.3136
3,18.3,1249,213,111,1380,16.6,68.2,1.2737
3.4,19.9,1295,161,103,1378,18.7,57.6,1.2323
3.3,16.6,1199,209,117,1365,17.6,65,1.2945
2.7,12.6,1072,191,116,1273,16.3,73.2,1.3458
2.6,12.9,1082,215,109,1242,16,78.5,1.4209
3.2,14.9,1145,212,116,1294,17.3,72.4,1.4125
3.4,17.4,1222,202,115,1413,19.4,60.9,1.3545
2.6,15.4,1160,153,94,1224,21.4,50.9,1.2823
4,18,1239,210,114,1404,20.9,60.8,1.4852
4.5,19.2,1274,215,110,1471,21,54.3,1.3353
4.2,21,1324,215,122,1623,20.8,54.4,1.3194
5.7,26.9,1476,281,135,1786,19.8,58.6,1.3392
3.1,15.1,1152,189,110,1495,18.2,65.4,1.3529
3,14.6,1136,174,102,1471,18.1,66.1,1.3579
3.1,13.7,1107,167,108,1384,17.7,66.9,1.3422
3.5,15.2,1155,185,110,1789,17.8,66.8,1.346
2.4,9.3,951,129,84,1323,17.3,68.3,1.3346
0.7,3.1,659,30,35,561,16.7,66.9,1.2631
1.2,6.5,833,75,67,862,16.9,66.5,1.2688
1.5,6.5,836,79,73,901,17.7,62,1.2458
1.8,8.8,932,104,86,1048,19.4,54.6,1.2184
2.1,8.8,931,118,89,971,21.6,46.1,1.1725
1.9,9.2,946,105,86,915,24.6,36.7,1.1202
2,9.2,948,101,86,891,26,31.9,1.0566
1.3,6.1,816,65,66,628,25.6,31.5,1.0184
1.3,6.5,835,59,68,556,24.8,34.8,1.0716
1.8,9.2,948,80,82,652,26.1,30.3,1.0101
2.4,11,1013,114,104,733,22.3,38.9,1.0324
4,14.7,1140,195,131,1062,20.7,42.8,1.0298
2.8,10.8,1006,156,112,988,19,51.7,1.1222
2,9.4,954,109,100,871,17.8,55.5,1.1174
3.6,14.8,1144,184,115,1243,17.4,57.6,1.1342
3.7,13.3,1094,190,129,1175,17.6,58.5,1.1645
2.3,8.4,914,105,99,1126,17.2,59.3,1.1551
1.8,7.9,894,76,74,1118,17.1,60.4,1.1633
0.9,5.5,789,38,55,864,16.4,62.2,1.1507
0.6,2.6,628,33,37,689,14.7,65.2,1.0811
0.7,3.6,689,57,45,767,13.1,70.2,1.0554
1.2,5.9,806,87,68,940,16,61.6,1.1083
1.4,6.9,851,94,77,908,17.7,56.4,1.1342
1.6,8.5,918,89,79,871,21.3,44.7,1.1157
1.3,6.1,816,78,72,689,23.6,36.4,1.0431
1.3,6.2,821,72,68,629,24.3,34,1.0149
1.2,6.8,847,70,73,617,24.6,31.7,0.9647
1.5,7,859,92,84,677,23.9,34.3,1.002
1.1,5.5,790,69,67,580,25.9,28.1,0.9258
1.9,9.5,957,131,106,861,24.5,32.3,0.9815
2.3,11.9,1047,144,114,1080,22.6,39.3,1.06
3.3,13.8,1111,209,123,1288,21.2,47.5,1.1828
2.6,10.7,1003,170,108,1163,19.9,54.9,1.2632
2.2,9.7,966,152,100,1043,19.4,52.1,1.1642
2.3,10.2,985,171,118,1045,19.4,42.6,0.9485
2,8.3,910,153,121,929,19.1,44.1,0.966
1.6,7.1,861,97,94,825,18,49.3,1.0086
0.8,3,654,37,52,545,17.6,54.6,1.0918
0.7,3.7,697,61,57,717,15.8,64.3,1.1416
1.3,8.2,906,152,80,1126,16,65.8,1.1844
3.4,21.1,1328,283,101,1597,16.8,62.5,1.1869
4.7,26.5,1466,320,109,1687,16.9,66.1,1.2613
2.5,12.9,1080,201,111,1366,21.4,45,1.1291
2,10.9,1010,135,102,1074,23.9,30.7,0.9002
1.9,11,1013,127,96,940,26.8,25.2,0.8721
1.7,10.8,1008,102,90,921,28.4,23.6,0.8983
1.5,11.2,1023,81,74,795,30.9,19.7,0.8649
2.4,16.8,1204,129,102,1079,30.2,20.5,0.8672
3.9,23.6,1392,190,128,1473,26.4,34.6,1.1724
4.2,23.3,1385,192,130,1493,24.9,39.4,1.2268
3.7,19.4,1279,163,120,1308,23.5,43.7,1.2484
3.2,13.1,1086,149,113,1189,19.3,63.1,1.4028
2,9.8,970,119,100,1076,18.7,64.6,1.3836
1.1,5.3,780,61,70,806,19.5,57.1,1.2806
1.5,6.7,842,84,83,973,18.9,62.5,1.3521
1.3,5.5,789,79,81,929,18.4,65.8,1.3802
1,3.7,692,58,69,778,16.4,79.2,1.4681
0.6,2.2,599,32,48,633,16.1,80,1.4562
0.6,2.9,646,49,47,579,15.7,80.5,1.4236
1.9,9.9,976,180,88,1003,16,80.8,1.4602
4.5,23,1379,302,109,1393,16.6,78,1.4572
4.3,22.3,1358,258,113,1406,16.1,79.2,1.4398
1.3,7.9,895,84,65,863,20.3,54.8,1.2867
2.2,12.4,1062,128,87,1004,21.2,49.3,1.2271
2.6,13.6,1104,145,99,1023,21.5,47.9,1.2178
2.4,12.1,1053,136,105,979,20.4,54,1.2757
1.2,6.3,828,55,54,617,19.9,55.2,1.2701
3.9,20.6,1313,191,109,1220,18.3,62.8,1.3127
4.7,22.1,1353,227,125,1296,17.2,68.3,1.3289
3,11.8,1042,196,110,1093,16.6,70.8,1.3253
0.9,4.3,729,43,53,586,18.5,56,1.181
1.1,5,765,58,61,575,17.3,59.5,1.1667
0.7,2.3,608,33,41,441,18.6,52.3,1.1121
0.5,1.4,534,14,22,358,19,49.8,1.0831
0.5,1.5,541,18,28,377,15.7,64.5,1.14
0.8,3.5,682,56,54,580,14.6,77.1,1.2727
1.3,6.9,851,108,81,805,14.5,78.3,1.2851
3.9,18.9,1265,255,124,1307,16.4,72.4,1.3379
2.9,13,1085,214,123,1102,16.3,68.6,1.2657
2.6,13,1083,190,120,1083,17.2,62.9,1.2228
3,14.5,1134,182,113,1083,17.4,61.1,1.206
3.9,19.4,1279,224,120,1223,17.3,62.6,1.226
2.4,11.2,1022,126,88,933,17.5,59.2,1.1725
1.6,10,978,79,72,835,17.7,56.9,1.1392
3,14.6,1136,137,103,1291,17.1,61.5,1.1873
1.6,8.5,918,68,67,802,17.5,63.9,1.2667
2.1,9.2,949,96,79,842,15.9,70.7,1.2672
1.1,3.7,695,56,67,500,13.9,72.5,1.1502
1.5,4.9,760,81,83,560,12,79.8,1.1175
1.4,4.6,741,79,76,589,12.5,75.8,1.0938
0.9,3.4,674,46,58,488,12,75,1.0499
1.3,6.1,817,128,92,695,13.1,65.6,0.9815
2.9,16.8,1205,193,101,1139,14.7,58.5,0.9688
3.6,20.3,1304,203,121,1315,15.9,53.1,0.9529
3.4,16.4,1191,220,130,1217,17.9,46.1,0.9388
2.1,9.8,970,135,100,884,18.5,42.8,0.9026
1.1,5.2,772,57,56,524,13,64.3,0.9586
3,14.1,1119,219,121,1032,13.6,65.5,1.0184
3.1,12.7,1074,239,128,1038,12.3,78.3,1.1154
3.6,14.6,1136,209,139,1077,12.7,74.2,1.0863
3.3,12.4,1063,169,122,983,14.4,64.2,1.049
1.8,9.4,954,92,92,834,15.6,58.3,1.0266
2.1,11,1015,107,97,949,15,61.4,1.0385
2.2,8.9,935,122,98,941,13.7,65.8,1.0254
1.6,6.6,841,100,93,756,12.3,66.4,0.944
0.9,3.9,705,51,65,655,15.4,58.8,1.0215
2.3,8.2,907,145,102,970,13.8,64.7,1.0168
0.9,3.3,669,46,56,671,13.7,69.4,1.0794
0.7,2.8,639,51,48,489,14.6,61.1,1.0075
3.7,19.8,1290,214,106,1196,14.9,56.9,0.9582
4.2,22.1,1355,196,107,1266,16.4,50.2,0.9286
3.4,15,1148,224,127,1130,16,50.9,0.9211
2.4,9.3,952,174,114,834,18.6,42.8,0.9091
1.3,6.3,825,90,101,536,19.7,33.7,0.7646
1.5,8.2,906,89,95,545,21.2,27.7,0.6864
2.2,10.9,1010,132,110,720,19.7,28.5,0.6445
1.8,9.3,950,114,101,655,19.8,29.7,0.678
1.9,8.4,914,107,106,614,19.2,35.6,0.7856
2.3,9.4,956,140,116,725,14.2,60.5,0.9765
3.6,17.9,1238,187,124,1036,12.9,69.1,1.0249
4.3,17.4,1222,222,133,1127,12.7,70.4,1.0294
2.2,10.5,995,117,96,854,13.9,62.7,0.9905
1.5,7.5,879,89,85,792,13.9,62.9,0.9948
2.1,7.3,869,144,101,851,13.3,63.6,0.9677
1.5,6.4,829,99,85,787,13.3,61.8,0.9433
2.2,5.6,791,102,80,711,13.6,59.7,0.9271
0.5,1.5,546,27,33,396,14.6,53.3,0.8807
4.4,20.2,1303,257,117,1494,17.8,51.1,1.0362
2.5,13.4,1096,178,107,1186,20,45,1.0379
2.1,11.7,1040,145,95,1051,20.3,44.1,1.0392
2.4,13.4,1097,137,93,1027,20.7,42.4,1.0248
2.2,12.9,1080,139,104,981,20.8,40.6,0.9888
2.2,13.4,1096,130,102,976,21.5,39.7,1.0042
2.3,13.7,1108,148,109,932,25,30.1,0.9394
2.5,17.8,1234,132,104,990,23.4,32,0.91
3.6,22,1352,188,124,1196,21,37.8,0.9298
4,24.4,1413,204,135,1329,19.2,45.7,1.0084
3,16.3,1189,167,122,1151,17.7,50.9,1.0232
2.1,12.4,1063,128,109,1031,16.8,53.6,1.0167
1.7,9.6,963,106,95,917,15.8,56.2,1.0033
1.1,6.4,830,88,86,860,16,56.5,1.0166
0.9,6,812,77,78,910,14.2,64.1,1.0346
0.2,1.6,549,28,43,596,14.3,61.9,1.0031
5.5,31,1575,383,120,1779,14.5,59.8,0.9795
4.8,26,1455,366,153,1822,17.5,49.8,0.9877
4.5,22.6,1368,322,163,1675,21.9,35.2,0.9128
2.5,13.9,1115,144,96,1091,24.3,29.8,0.8926
2.3,14.4,1129,132,94,1023,23.8,31.7,0.9212
2,11.6,1035,117,86,877,24.2,31.2,0.9257
1.9,12.2,1058,121,91,931,26.5,27.2,0.9282
3.5,21.1,1326,188,125,1255,26.3,27.5,0.9306
4.6,29.9,1549,226,140,1571,24.4,31.6,0.9545
6.3,34.3,1649,266,158,1779,23.1,35.3,0.9845
2.7,14.2,1122,167,114,1424,18.1,58.7,1.2072
2.2,12.4,1064,138,100,1348,17.3,58.8,1.1494
1.7,8.7,926,105,88,1174,16.9,58.8,1.125
0.8,5.2,771,54,67,947,17.6,57.6,1.1484
0.8,4.6,744,58,65,935,15.6,63.9,1.1287
0.8,4.7,749,84,57,881,14,68.3,1.0884
5.9,37.4,1716,333,110,1895,17,56.8,1.0909
5.1,26.6,1469,336,121,1758,18.8,52.4,1.1285
3.9,22,1350,280,108,1630,19.7,51.9,1.1796
3.4,17.9,1236,275,125,1530,20.9,44.6,1.0872
5.1,29.3,1534,305,131,1828,20.4,55.7,1.3205
2.4,12.7,1074,162,123,1166,17.3,61.1,1.1957
2.9,13.4,1097,136,107,995,17.4,48.6,0.9559
3.4,14.8,1143,166,123,1108,17.6,43.7,0.8698
2.2,9.4,954,136,112,956,16.7,47.2,0.892
1.6,6.9,851,112,101,817,16.8,45.6,0.8636
1.3,5.2,773,87,91,658,16.1,52,0.946
1.3,5.7,800,86,88,658,15.5,57.1,0.996
1.6,6.5,836,98,96,748,16.2,50.2,0.9156
0.6,2.5,620,32,47,445,16.2,52.8,0.9626
0.4,1.7,560,41,49,407,16.2,53.7,0.9799
1,4.5,736,86,85,611,15.9,55.3,0.991
2,9.4,957,174,106,944,16.2,55.6,1.0151
3.6,17.9,1237,264,136,1328,16,59.3,1.0711
2.4,10.6,1000,211,119,1085,16.6,55.6,1.042
2.4,11,1014,208,122,1139,17.4,51.8,1.022
1.9,8.7,927,138,97,804,17.2,52.8,1.0236
1.7,7.9,894,131,93,771,19.5,45,1.0114
3.1,16.4,1191,178,123,1192,19.8,44.3,1.0104
4.5,20.2,1303,232,148,1457,20.3,44.4,1.0457
3.9,21.7,1342,204,133,1489,19.8,47.9,1.092
4.6,21.2,1329,250,141,1602,19.1,52.3,1.1486
3.3,15.9,1176,208,131,1468,18.2,54.7,1.1336
2.7,12,1049,158,121,1274,17.8,55,1.1097
3.3,17.4,1221,197,123,1401,17.5,56.4,1.1175
2.5,15,1150,152,107,1354,17.3,57.8,1.1298
2.1,11.1,1017,112,104,1188,16.8,57.5,1.0912
1.3,6.9,853,75,91,975,16.3,57,1.0484
1.2,6.5,833,116,102,1012,16,58.3,1.0481
1.5,8.4,917,118,95,905,17.2,52.3,1.0169
3.7,22.8,1372,272,140,1449,18.5,49.4,1.0397
3.3,13.6,1104,258,138,1301,21,37.9,0.9313
2.5,11.1,1019,186,113,1181,22.8,32.4,0.887
1.9,10,979,130,101,962,25.5,25.6,0.8218
2,10.5,998,134,97,862,25.9,23.6,0.7771
2.5,13,1084,148,114,1017,27.7,20.8,0.7599
2.1,12.5,1068,147,110,993,27.1,21.6,0.7618
2.1,11.4,1029,123,103,879,28.4,20.2,0.7697
3,14.9,1145,162,126,1011,27.6,22.3,0.8116
4.1,19.1,1272,214,144,1380,25.2,24.3,0.7671
4.5,21.8,1346,230,164,1698,24.6,25.1,0.7636
3.5,16.1,1183,191,148,1432,23.1,27.2,0.7575
2.3,12.4,1065,138,111,1317,20.8,34.5,0.8365
1.9,10.4,992,126,115,1255,20.4,35.3,0.8352
